Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000089639	GO:0005100	ENSP00000203556
ENSG00000089639	GO:0005515	ENSP00000203556
ENSG00000089639	GO:0046872	ENSP00000203556
ENSG00000090615	GO:0006891	ENSP00000204726
ENSG00000090615	GO:0045449	ENSP00000204726
ENSG00000090615	GO:0000139	ENSP00000204726
ENSG00000090615	GO:0005737	ENSP00000204726
ENSG00000090615	GO:0005793	ENSP00000204726
ENSG00000090615	GO:0005794	ENSP00000204726
ENSG00000090615	GO:0016020	ENSP00000204726
ENSG00000090615	GO:0017119	ENSP00000204726
ENSG00000090615	GO:0032580	ENSP00000204726
ENSG00000090615	GO:0005634	ENSP00000204726
ENSG00000090615	GO:0005215	ENSP00000204726
ENSG00000090615	GO:0005515	ENSP00000204726
ENSG00000090615	GO:0030528	ENSP00000204726
ENSG00000090863	GO:0032330	ENSP00000205061
ENSG00000090863	GO:0060349	ENSP00000205061
ENSG00000090863	GO:0030512	ENSP00000205061
ENSG00000090863	GO:0010955	ENSP00000205061
ENSG00000090863	GO:0000139	ENSP00000205061
ENSG00000090863	GO:0005794	ENSP00000205061
ENSG00000090863	GO:0005797	ENSP00000205061
ENSG00000090863	GO:0016020	ENSP00000205061
ENSG00000090863	GO:0016021	ENSP00000205061
ENSG00000090863	GO:0031012	ENSP00000205061
ENSG00000090863	GO:0005102	ENSP00000205061
ENSG00000090863	GO:0005515	ENSP00000205061
ENSG00000091140	GO:0006090	ENSP00000205402
ENSG00000091140	GO:0006099	ENSP00000205402
ENSG00000091140	GO:0006103	ENSP00000205402
ENSG00000091140	GO:0006120	ENSP00000205402
ENSG00000091140	GO:0006508	ENSP00000205402
ENSG00000091140	GO:0006554	ENSP00000205402
ENSG00000091140	GO:0007369	ENSP00000205402
ENSG00000091140	GO:0007568	ENSP00000205402
ENSG00000091140	GO:0009083	ENSP00000205402
ENSG00000091140	GO:0009106	ENSP00000205402
ENSG00000091140	GO:0010510	ENSP00000205402
ENSG00000091140	GO:0034641	ENSP00000205402
ENSG00000091140	GO:0042391	ENSP00000205402
ENSG00000091140	GO:0045454	ENSP00000205402
ENSG00000091140	GO:0048240	ENSP00000205402
ENSG00000091140	GO:0051068	ENSP00000205402
ENSG00000091140	GO:0055114	ENSP00000205402
ENSG00000091140	GO:0008033	ENSP00000205402
ENSG00000091140	GO:0006086	ENSP00000205402
ENSG00000091140	GO:0005737	ENSP00000205402
ENSG00000091140	GO:0005739	ENSP00000205402
ENSG00000091140	GO:0005759	ENSP00000205402
ENSG00000091140	GO:0019861	ENSP00000205402
ENSG00000091140	GO:0043159	ENSP00000205402
ENSG00000091140	GO:0045252	ENSP00000205402
ENSG00000091140	GO:0045254	ENSP00000205402
ENSG00000091140	GO:0004148	ENSP00000205402
ENSG00000091140	GO:0016491	ENSP00000205402
ENSG00000091140	GO:0043544	ENSP00000205402
ENSG00000091140	GO:0050660	ENSP00000205402
ENSG00000091140	GO:0051287	ENSP00000205402
ENSG00000091140	GO:0009055	ENSP00000205402
ENSG00000092010	GO:0000075	ENSP00000206451
ENSG00000092010	GO:0000082	ENSP00000206451
ENSG00000092010	GO:0000084	ENSP00000206451
ENSG00000092010	GO:0000216	ENSP00000206451
ENSG00000092010	GO:0000278	ENSP00000206451
ENSG00000092010	GO:0006521	ENSP00000206451
ENSG00000092010	GO:0006915	ENSP00000206451
ENSG00000092010	GO:0006977	ENSP00000206451
ENSG00000092010	GO:0016032	ENSP00000206451
ENSG00000092010	GO:0016070	ENSP00000206451
ENSG00000092010	GO:0016071	ENSP00000206451
ENSG00000092010	GO:0031145	ENSP00000206451
ENSG00000092010	GO:0034641	ENSP00000206451
ENSG00000092010	GO:0042981	ENSP00000206451
ENSG00000092010	GO:0051436	ENSP00000206451
ENSG00000092010	GO:0051437	ENSP00000206451
ENSG00000092010	GO:0051439	ENSP00000206451
ENSG00000092010	GO:0000502	ENSP00000206451
ENSG00000092010	GO:0005737	ENSP00000206451
ENSG00000092010	GO:0008537	ENSP00000206451
ENSG00000095261	GO:0000075	ENSP00000210313
ENSG00000095261	GO:0000082	ENSP00000210313
ENSG00000095261	GO:0000084	ENSP00000210313
ENSG00000095261	GO:0000216	ENSP00000210313
ENSG00000095261	GO:0000278	ENSP00000210313
ENSG00000095261	GO:0006521	ENSP00000210313
ENSG00000095261	GO:0006915	ENSP00000210313
ENSG00000095261	GO:0006977	ENSP00000210313
ENSG00000095261	GO:0016032	ENSP00000210313
ENSG00000095261	GO:0016070	ENSP00000210313
ENSG00000095261	GO:0016071	ENSP00000210313
ENSG00000095261	GO:0031145	ENSP00000210313
ENSG00000095261	GO:0034641	ENSP00000210313
ENSG00000095261	GO:0042981	ENSP00000210313
ENSG00000095261	GO:0051436	ENSP00000210313
ENSG00000095261	GO:0051437	ENSP00000210313
ENSG00000095261	GO:0051439	ENSP00000210313
ENSG00000095261	GO:0070682	ENSP00000210313
ENSG00000095261	GO:0000502	ENSP00000210313
ENSG00000095261	GO:0008540	ENSP00000210313
ENSG00000095261	GO:0005515	ENSP00000210313
ENSG00000095261	GO:0005488	ENSP00000210313
ENSG00000095380	GO:0009103	ENSP00000210444
ENSG00000095380	GO:0016051	ENSP00000210444
ENSG00000095380	GO:0005737	ENSP00000210444
ENSG00000095380	GO:0008781	ENSP00000210444
ENSG00000095380	GO:0016740	ENSP00000210444
ENSG00000095380	GO:0047444	ENSP00000210444
ENSG00000095380	GO:0050462	ENSP00000210444
ENSG00000096171	GO:0006414	ENSP00000211402
ENSG00000096171	GO:0006418	ENSP00000211402
ENSG00000096171	GO:0010467	ENSP00000211402
ENSG00000096171	GO:0006438	ENSP00000211402
ENSG00000096171	GO:0006412	ENSP00000211402
ENSG00000096171	GO:0005622	ENSP00000211402
ENSG00000096171	GO:0005737	ENSP00000211402
ENSG00000096171	GO:0005829	ENSP00000211402
ENSG00000096171	GO:0000166	ENSP00000211402
ENSG00000096171	GO:0004832	ENSP00000211402
ENSG00000096171	GO:0005515	ENSP00000211402
ENSG00000096171	GO:0005524	ENSP00000211402
ENSG00000096171	GO:0016874	ENSP00000211402
ENSG00000096171	GO:0004812	ENSP00000211402
ENSG00000240972	GO:0001516	ENSP00000215754
ENSG00000240972	GO:0006954	ENSP00000215754
ENSG00000240972	GO:0007166	ENSP00000215754
ENSG00000240972	GO:0008283	ENSP00000215754
ENSG00000240972	GO:0010629	ENSP00000215754
ENSG00000240972	GO:0010739	ENSP00000215754
